RANK,PLAYER,TEAM,LEAGUE,POS,CAT,AGE,BLURB,ETA,R,HR,RBI,AVG,OBP,SLG,SB,W,ERA,WHIP,K,SV,IP,R,HR,RBI,AVG,OBP,SLG,SB,W,ERA,WHIP,K,SV,IP
639,Ryan Weathers,SD,NL, LHP,Pitcher,20.4,Solid first full season of pro ball with a pitching line of 3.84/1.24/90/18 in 96 IP in Full-A. Low 90s fastball with a potentially plus change and an advanced feel for pitching.,2022,,,,,,,,,,,,,,,,,,,,,13,3.71,1.25,172,0,180
640,Hans Crouse,TEX,AL, RHP,Pitcher,21.6,Stuff took a step back because of a bone spur in his elbow which required surgery after the season. Assuming he returns to full health; he has a plus fastball/slider combo with a developing change.,2022,,,,,,,,,,,,,,,,,,,,,11,3.87,1.28,162,0,155
641,Brent Rooker,MIN,NL, OF,Batter,25.5,Massive power (14 homers in 65 games at Triple-A) with massive strikeout issues (34.7% K%).,AUG,12,5,17,0.233,0.314,0.448,1,,,,,,,66,25,77,0.249,0.333,0.495,4,,,,,,
642,Miguel Vargas,LAD,NL, 3B,Batter,20.5,Advanced plate approach with a good feel to hit translated to Full-A and High-A; slashing .308/.380/.440 with 7 homers; 13 steals; and a 83/55 K/BB in 124 games. There should be more power in the tank as he ages.,2022,,,,,,,,,,,,,,76,22,85,0.278,0.351,0.466,8,,,,,,
643,Samuel Huff,TEX,AL, C,Batter,22.3,Power hitting catcher with hit tool concerns. Cranked 28 homers with a 30% K% in 127 games split between Full-A and High-A.,2022,,,,,,,,,,,,,,61,24,74,0.246,0.318,0.451,2,,,,,,
644,Ezequiel Duran,NYY,AL, 2B,Batter,20.1,Power broke out at Short-A with a league leading 13 homers in 66 games. Hes raw at the plate; but hes a good athlete and scorches the ball,2022,,,,,,,,,,,,,,77,25,81,0.255,0.332,0.473,10,,,,,,
645,Austin Beck,OAK,AL, OF,Batter,21.5,Strikeout rate spiked to 34.3% at High-A and remains all around raw in his game. The excellent bat speed and plus power/speed combo is still present; so a breakout can happen any year.,2022,,,,,,,,,,,,,,79,21,77,0.242,0.314,0.435,9,,,,,,
646,Adam Kloffenstein,TOR,AL, RHP,Pitcher,19.8,Pitched well as an 18 year old in Short-A with a pitching line of 2.24/1.09/64/23 in 64.1 IP. 65ù; 243 pounds with a low 90s fastball and potential for 3 quality secondaries.,2023,,,,,,,,,,,,,,,,,,,,,11,3.95,1.32,171,0,176
647,Alex De Jesus,LAD,NL, SS,Batter,18,Signed for $500;000 in 2018; De Jesus impressed in his pro debut and moved quickly to stateside ball. He showed an ability to lift the ball with developing plus power.,2024,,,,,,,,,,,,,,75,24,83,0.261,0.332,0.457,4,,,,,,
648,Gunnar Henderson,BAL,AL, SS,Batter,18.1,Drafted 42nd overall; Henderson was one of the youngest players in the draft. He got off to a slow start in pro ball but finished the year strong. 63ù; 195 pounds with the chance to grow into plus power.,2024,,,,,,,,,,,,,,76,23,82,0.267,0.341,0.452,9,,,,,,
649,Aaron Schunk,COL,NL, 3B,Batter,22.8,Drafted 62nd overall; Schunks game power broke out his junior year in the SEC; hitting .339 with 15 homers and a 29/14 K/BB in 57 games. He kept it going at Short-A in his pro debut; slashing .306/.370/.503 with 6 homers and a 25/14 K/BB in 46 games.,2022,,,,,,,,,,,,,,73,23,81,0.263,0.321,0.457,4,,,,,,
650,Wilderd Patino,ARI,NL, OF,Batter,18.9,Tooled up; high upside power/speed combo but there are concerns over the hit tool.,2023,,,,,,,,,,,,,,78,21,72,0.251,0.333,0.441,18,,,,,,
651,Danny Salazar,FA,, RHP,Pitcher,30.3,Shoulder and groin injuries knocked out all of Salazars 2018 and all but 4 innings of his 2019. Hes been plagued by injuries for most of his career now; but is still a decent lottery ticket because the stuff is so good when healthy.,,,,,,,,,4,4.41,1.39,78,0,76,,,,,,,,,,,,,
652,Logan Webb,SF,NL, LHP,Pitcher,23.5,4 pitch mix with a low 90s fastball and plus slider. Was suspended 80 games for PEDs early in the season; and fastball velocity was down when he returned.,,,,,,,,,5,4.24,1.35,86,0,95,,,,,,,,,,,,,
653,Matt Magill,SEA,AL, CL CM,Reliever,30.5,Magill throws a 95.2 MPH fastball with a plus curveball. Will compete for the closer job in Spring.,,,,,,,,,4,3.81,1.33,64,18,55,,,,,,,,,,,,,
654,Yoshihisa Hirano,SEA,AL, CL CM,Reliever,36.1,Signing with Seattle gives him a shot to pick up at least a few saves. Plus splitter is the money maker.,,,,,,,,,4,3.91,1.34,59,17,57,,,,,,,,,,,,,
655,Diego Castillo,TB,AL, SU,Reliever,26.2,98.4 MPH sinker with a plus slider that he throws 51.4% of the time. Anderson is the favorite for saves; but Tampa loves to mix and match.,,,,,,,,,4,3.31,1.15,78,10,66,,,,,,,,,,,,,
656,Colin Poche,TB,AL, SU,Reliever,26.5,Couldnt come close to matching 2018s 0.82 ERA at Double-A and Triple-A in the majors (4.70 ERA); but he was able to maintain a strong 72/19 K/BB in 51.2 IP.,,,,,,,,,4,3.82,1.18,92,10,65,,,,,,,,,,,,,
657,Brad Peacock,HOU,AL, SW,Reliever,32.2,Jack of all trades pitcher with high strikeout rates over the past 3 seasons.,,,,,,,,,6,3.77,1.2,90,0,83,,,,,,,,,,,,,
658,Darwinzon Hernandez,BOS,AL, SU,Reliever,23.4,Nasty fastball/slider combo accumulates strikeouts; but has major; major control issues (7.7 BB/9 in his 30.1 IP MLB debut).,,,,,,,,,3,4.17,1.41,81,0,62,,,,,,,,,,,,,
659,Owen Miller,SD,NL, SS,Batter,23.4,Jumped straight to Double-A in his first full season of pro ball and performed well with a 15.4% K%; but with only average power and not much speed there isnt much fantasy upside.,SEPT,8,1,5,0.253,0.309,0.393,1,,,,,,,67,15,62,0.266,0.327,0.425,5,,,,,,
660,Ryan Jeffers,MIN,NL, C,Batter,22.1,Offensive minded catcher whose defense took a step forward. Good feel to hit and hits it in the air.,2021,,,,,,,,,,,,,,51,21,64,0.264,0.33,0.448,0,,,,,,
661,Miguel Amaya,CHC,NL, C,Batter,21.1,16.8% K% and 13.2% BB% as a 20 year old at High-A. Power is coming along with 11 homers in 99 games in a pitchers park.,2022,,,,,,,,,,,,,,68,22,76,0.274,0.348,0.455,1,,,,,,
662,Ronaldo Hernandez,TB,AL, C,Batter,22.5,Plus raw power with a good feel to hit. Power was down at High-A; but some of that can be blamed on playing in the Florida State League.,2022,,,,,,,,,,,,,,53,21,63,0.262,0.318,0.447,3,,,,,,
663,Tyler Stephenson,CIN,NL, C,Batter,23.8,Excellent plate approach at Double-A with a 16.5% K% and 10.2% BB%; but continues to display only average power (6 homers in 89 games).,SEPT,6,2,9,0.252,0.314,0.382,0,,,,,,,55,16,61,0.274,0.342,0.42,1,,,,,,
664,Matt Wallner,MIN,NL, OF,Batter,22.4,Drafted 39th overall; Wallner has double plus raw power that he had no problem getting to in Conference USA (58 homers in 3 years) and in his pro debut (8 homers in 65 games in mostly the Appy League); but it comes with a high strikeout rate (27% K%).,2022,,,,,,,,,,,,,,70,22,79,0.248,0.331,0.462,2,,,,,,
665,William Contreras,ATL,NL, C,Batter,22.3,With Atlanta selecting Langeliers 9th overall in the draft; Contreras will likely need a trade to project for full time at-bats. He has a similar offensive profile to his brother; Willson; with a good feel to hit and plus raw power; although he doesnt hit the ball on the ground as much as Willson.,2021,,,,,,,,,,,,,,52,22,61,0.267,0.328,0.443,0,,,,,,
666,Connor Scott,MIA,NL, OF,Batter,20.6,High upside prospect whose numbers remained mediocre; but his prospect value basically held serve; displaying plus speed with the ability to grow into above average power.,2022,,,,,,,,,,,,,,80,18,72,0.266,0.33,0.428,21,,,,,,
667,Michael Baumann,BAL,AL, RHP,Pitcher,24.7,Pitched well at High-A (3.83 ERA with 77 Ks in 54 IP) and Double-A (2.31 ERA with 65 Ks 70 IP). 4 pitch mix headlined by a fastball that has reached 99 MPH.,,,,,,,,,1,4.42,1.38,18,0,20,,,,,,,,10,4.07,1.3,162,0,165
668,Cole Roederer,CHC,NL, OF,Batter,20.6,Full season debut was a little underwhelming with a .224 BA and 25% K%; but still displayed the potential for all category production with 9 homers; 16 steals; and a 11.6% BB%.,2022,,,,,,,,,,,,,,81,24,76,0.262,0.338,0.464,13,,,,,,
669,Cole Winn,TEX,AL, RHP,Pitcher,20.4,Throws a 5 pitch mix with a low 90s fastball. Got rocked in his first 6 starts at High-A; but put up a 2.81 ERA in final 51.1 IP.,2022,,,,,,,,,,,,,,,,,,,,,12,3.95,1.29,174,0,178
670,Jay Groome,BOS,AL, LHP,Pitcher,21.7,Returned at the end of the season from May 2018 Tommy John surgery. When healthy; he throws a potentially double plus curveball with a 93 MPH fastball and developing change.,2022,,,,,,,,,,,,,,,,,,,,,9,3.79,1.27,168,0,160
671,Tanner Roark,TOR,AL, RHP,Pitcher,33.6,Innings eating back end starter.,,,,,,,,,10,4.53,1.38,160,0,170,,,,,,,,,,,,,
672,Danny Duffy,KC,AL, LHP,Pitcher,31.3,Fastball velocity down 1 MPH to a career low 92.7 MPH. 4.70 FIP in 2018 and 4.78 FIP in 2019.,,,,,,,,,8,4.51,1.33,129,0,140,,,,,,,,,,,,,
673,Jonathan Loaisiga,NYY,AL, RHP,Pitcher,25.5,4 pitch mix with a 97.1 MPH fastball. Could fill a rotation role if injuries hit but also has the stuff to be effective out of the pen.,,,,,,,,,7,4.16,1.32,110,0,100,,,,,,,,,,,,,
674,Alex Dickerson,SF,NL, OF,Batter,29.1,16.3 degree launch angle with above average exit velocities. Strong side a platoon role at best.,,51,14,52,0.267,0.331,0.455,1,,,,,,,,,,,,,,,,,,,
675,Trevor Richards,TB,AL, RHP,Pitcher,26.11,Throws a 4 pitch mix headlined by one of the best changeups in baseball. Currently projected as pitching depth; but Im sure hell end up pitching plenty of innings in a variety of roles.,,,,,,,,,7,4.16,1.33,93,0,96,,,,,,,,,,,,,
676,Nick Pivetta,PHI,NL, RHP,Pitcher,28.1,2019 breakout candidate who regressed across the board and will now have to earn his way back into a rotation spot. He wasnt much better after moving into the bullpen either.,,,,,,,,,4,4.36,1.33,86,0,78,,,,,,,,,,,,,
677,Keegan Akin,BAL,AL, LHP,Pitcher,25,Deceptive low 90s fastball with two quality secondaries in his slider and changeup. Likely a back end starter; but he should get his opportunity this year with Baltimores shotty rotation.,,,,,,,,,4,4.66,1.41,83,0,90,,,,,,,,9,4.22,1.35,155,0,160
678,Tucupita Marcano,SD,NL, SS/3B/2B,Batter,20.7,Elite contact numbers translated to full season ball with a 8.9% K%. Has plus speed but going 15 for 31 on the basepaths show the base stealing skills need work.,2022,,,,,,,,,,,,,,73,8,52,0.283,0.331,0.391,16,,,,,,
678,Randy Arozarena,TB,AL, OF,Batter,25.1,Hit the ball hard in his MLB debut with a 90.7 MPH average exit velocity to go along with plus speed and a good feel to hit. Joining the deep and talented Rays roster likely limits his upside to a super utility player in the near future.,JULY,28,6,24,0.269,0.32,0.421,6,,,,,,,81,18,66,0.278,0.335,0.437,13,,,,,,
680,Antonio Cabello,NYY,AL, OF,Batter,19.5,Couldnt repeat his 2018 success in the more advanced Appy League; striking out .30.7% of the time; but the exciting raw tools are all still there.,2024,,,,,,,,,,,,,,74,24,77,0.267,0.332,0.452,11,,,,,,
681,Nick Markakis,ATL,NL, OF,Batter,36.4,Hell give you some batting average and not much else.,,67,13,69,0.282,0.355,0.425,1,,,,,,,,,,,,,,,,,,,
682,Garrett Cooper,MIA,NL, 1B/OF,Batter,29.3,Power hitter with a high K% (26.1%) and low FB% (23.2%). With all the young talent Miami is trying to develop; his playing time is likely on the decline.,,58,16,54,0.268,0.326,0.448,0,,,,,,,,,,,,,,,,,,,
683,Kevin Pillar,BOS,AL, OF,Batter,31.3,Defense is on the decline which puts his playing time in question because his wRC+ has been in the 80s the last 4 years.,,58,14,52,0.261,0.295,0.431,11,,,,,,,,,,,,,,,,,,,
684,Kevin Cron,ARI,NL, 1B,Batter,27.1,Smashed a stupid 38 homers in 82 games in the PCL. Will have to fight his way throughChristian WalkerandSeth Beerfor playing time.,,31,11,37,0.241,0.313,0.475,1,,,,,,,,,,,,,,,,,,,
685,Mason Martin,PIT,NL, 1B,Batter,20.1,Slashed .254/.351/.558 with 35 homers and a 168/68 K/BB in 131 games split between Full-A and High-A. Poor defensive 1B; so finding playing time will be his biggest hurdle.,2022,,,,,,,,,,,,,,67,24,76,0.235,0.328,0.462,3,,,,,,
686,Dellin Betances,NYM,NL, SU,Reliever,32,Limited to one appearance in 2019 due to a variety of injuries (shoulder; lat; Achilles). Hes a true elite reliever if fully healthy; and even if he loses a tick or two on the fastball; hell still probably be pretty damn good.,,,,,,,,,3,3.12,1.13,91,0,58,,,,,,,,,,,,,
687,Adam Ottavino,NYY,AL, SU,Reliever,34.2,Walks were up; but was able to strand the extra runners anyway with an elite slider.,,,,,,,,,5,3.28,1.23,86,0,65,,,,,,,,,,,,,
688, Emilio Pagan,SD,NL, CL,Reliever,28.11,Velocity spiked on the fastball 1.2 MPH to 95.8 MPH and the slider 2.1 MPH to 87.8 MPH. It showed up in the stats with a career high 12.34 K/9. Trade to SD tanks his fantasy value in a 5√ó5.,,,,,,,,,4,3.35,1.03,80,0,65,,,,,,,,,,,,,
689,Michael Lorenzen,CIN,NL, RHP,Pitcher,28.3,Next man up in Cincinnati. Cut sinker usage by more than half and changeup took a big step forward becoming his most valuable pitch.,,,,,,,,,3,3.53,1.21,81,6,79,,,,,,,,,,,,,
690,Mike Ford,NYY,AL, 1B,Batter,27.9,Injuries opened the door and Ford kicked it down; slashing .259/.350/.559 with 12 homers and a 28/17 K/BB in 50 games; which matches up with his excellent minor league numbers.,,41,14,49,0.257,0.343,0.477,1,,,,,,,,,,,,,,,,,,,
691,Enrique Hernandez,LAD,NL, 2B/OF,Batter,28.7,2018 breakout was short lived with his walk rate dropping 3% to 7.8% and strikeout rate jumping 4.2% to 21.1%. LA is stacked; so he is going to have to perform this year to keep getting at-bats.,,49,15,55,0.252,0.328,0.451,3,,,,,,,,,,,,,,,,,,,
692,Roman Quinn,PHI,NL, OF,Batter,27.1,Haseley is the favorite for the CF job; but Quinn should have a role and could easily earn himself more playing time if he performs. He has the 6th fastest sprint speed in baseball with a patient plate approach.,,38,6,30,0.251,0.328,0.396,14,,,,,,,,,,,,,,,,,,,
693,Myles Straw,HOU,AL, SS/OF,Batter,25.5,Light hitting; speedy fourth outfielder. 4th fastest sprint speed in baseball.,,41,1,18,0.265,0.338,0.361,15,,,,,,,,,,,,,,,,,,,
694,Tim Locastro,ARI,NL, OF,Batter,27.9,Fastest sprint speed in baseball and was a perfect 17 for 17 on the base paths in 2019.,,36,4,28,0.263,0.317,0.389,19,,,,,,,,,,,,,,,,,,,
695,Sheldon Neuse,OAK,AL, 2B/3B,Batter,25.5,Hits it hard with a line drive approach and a high strikeout rate. In the mix for the open 2B job.,,38,9,43,0.253,0.309,0.418,0,,,,,,,61,16,68,0.265,0.328,0.45,2,,,,,,
696,Matt Beaty,LAD,NL, 1B/OF,Batter,26.11,Elite contact numbers since freshman year of college to go along with at least above average power and moderate flyball rates (10.2 degree launch angle). Where he finds playing time is anyones guess.,,32,8,38,0.281,0.33,0.462,3,,,,,,,,,,,,,,,,,,,
697,Pavin Smith,ARI,NL, 1B,Batter,24.2,Lowered GB% to 43.9% while maintaining elite strikeout rate (12% K%) at Double-A. The home run power didnt breakout with only 12 homers in 123 games; but its a step in the right direction.,2021,,,,,,,,,,,,,,67,18,73,0.278,0.351,0.443,2,,,,,,
698,Travis Demeritte,DET,AL, OF,Batter,25.6,Plus power with high strikeout rates and above average speed. Likely to start the season in a short side of a platoon; but there is opportunity for more if he performs well.,,47,14,44,0.241,0.306,0.436,5,,,,,,,,,,,,,,,,,,,
699,Rio Ruiz,BAL,AL, 3B,Batter,25.1,Strong side of a platoon. Either his power or hit tool will have to take a step forward to keep getting at-bats.,,44,13,52,0.253,0.324,0.41,0,,,,,,,,,,,,,,,,,,,
700,Willi Castro,DET,AL, 2B/SS,Batter,23,Above average speed with an average hit tool and below average power. Has been young at every level; so there is hope the hit tool and power tick up.,,33,4,26,0.246,0.298,0.387,4,,,,,,,73,14,61,0.268,0.322,0.409,12,,,,,,
701,Colton Welker,COL,NL, 3B,Batter,22.6,Raw power needs to take a step forward to fully take advantage of his good feel to hit.,2021,,,,,,,,,,,,,,73,22,81,0.274,0.338,0.458,3,,,,,,
702,Yasel Antuna,WAS,NL, SS,Batter,20.6,Limited to just 3 games due to August 2018 Tommy John surgery and leg injuries. Has the chance to develop plus power with a good feel to hit; but he is still raw at the plate; especially considering all of the lost development time.,2023,,,,,,,,,,,,,,76,21,78,0.271,0.338,0.448,8,,,,,,
703,Corbin Martin,ARI,NL, RHP,Pitcher,24.3,Underwent Tommy John surgery in early July and is likely to be out for all of 2020. When healthy; he throws a 4 pitch mix headlined by a 95.5 MPH fastball.,2021,,,,,,,,,,,,,,,,,,,,,8,3.98,1.33,155,0,152
704,Seth Romero,WAS,NL, LHP,Pitcher,24,Missed all of 2019 recovering from Tommy John surgery. When healthy; Romero has swing and miss stuff with a chance for 3 above average to plus pitches (fastball; slider; changeup). High risk; high reward.,2021,,,,,,,,,,,,,,,,,,,,,10,3.72,1.26,173,0,158
705,DJ Peters,LAD,NL, OF,Batter,24.4,Power; patience; and a ton of strikeouts.,SEPT,8,2,8,0.226,0.302,0.429,1,,,,,,,63,20,61,0.238,0.325,0.452,3,,,,,,
706,Nick Neidert,MIA,NL, RHP,Pitcher,23.5,Early season knee tendinitis led to a down season at mostly Triple-A (5.05 ERA) but he performed much better in the Fall League with a pitching line of 1.25/0.83/19/2 in 21.2 IP. Plus changeup with low 90s heat and two average breaking balls.,,,,,,,,,3,4.48,1.33,46,0,50,,,,,,,,10,4.13,1.28,159,0,168
707,Matt Thaiss,LAA,AL, 3B,Batter,24.11,Strikeout rate jumped to 31.7% in his MLB debut; up from a 17.2% K% in Triple-A; although he did hit 8 homers with above average exit velocities.,AUG,16,6,21,0.253,0.323,0.422,0,,,,,,,77,24,83,0.269,0.342,0.451,2,,,,,,
708,Yu Chang,CLE,AL, 3B,Batter,24.5,Surface numbers werent great in MLB debut (.178 BA in 73 at-bats); but the statcast power/speed numbers were generally above average; and a 26.2% K%/13.1% BB% isnt bad. Likely needs aFrancisco Lindortrade to open up playing time.,AUG,11,4,13,0.236,0.303,0.404,2,,,,,,,76,22,78,0.252,0.331,0.448,9,,,,,,
709,Edward Olivares,SD,NL, OF,Batter,24.1,Took incremental steps forward in BB% (up 1.8% to 7.8%) and GB% (down 5.8% to 40.8%) while maintaining his good feel to hit (17.8% K%). Average to above average tools across the board.,2021,,,,,,,,,,,,,,78,19,74,0.268,0.332,0.427,16,,,,,,
710,Jarren Duran,BOS,AL, OF,Batter,23.7,Plus speed with a good feel to hit and line drive approach. There is some 4th outfielder risk; but a power breakout is not out of the question if he can raise his launch angle.,2021,,,,,,,,,,,,,,76,14,68,0.271,0.322,0.412,20,,,,,,
711,Canaan Smith,NYY,AL, OF,Batter,21.1,Bounced back from a down 2018; slashing .307/.405/.465 with 11 homers; 16 steals and a 108/74 K/BB in 124 games at Full-A. Hes known for his plus walk rates since high school; and should continue to grow into his potentially plus power.,2023,,,,,,,,,,,,,,71,21,79,0.258,0.342,0.437,5,,,,,,
712,Esteury Ruiz,SD,NL, 2B,Batter,21.1,Plus athlete with plus speed but is still raw at the plate and hasnt fully tapped into his raw power.,2022,,,,,,,,,,,,,,77,22,79,0.253,0.318,0.446,18,,,,,,
713,Cal Raleigh,SEA,AL, C,Batter,23.4,Plus power hitting catcher with 50%+ flyball rates. Drilled 29 homers in 121 games split between High-A and Double-A and is a good bet to stick behind the plate.,2021,,,,,,,,,,,,,,58,23,66,0.245,0.323,0.446,1,,,,,,
714,Hudson Potts,SD,NL, 3B,Batter,21.5,Low average; low OBP slugger who struggled against more advanced competition at Double-A. Strikeout rate jumped to 28.6% but still managed to knock 16 homers in 107 games.,2021,,,,,,,,,,,,,,67,22,78,0.249,0.311,0.452,2,,,,,,
